iter	Passed	Remaining
675	30170	14460
676	30239	14427
677	30301	14390
678	30352	14349
679	30399	14305
680	30473	14274
681	30556	14247
682	30641	14221
683	30707	14186
684	30757	14143
685	30801	14098
686	30844	14052
687	30891	14009
688	30940	13966
689	30984	13920
690	31027	13874
691	31072	13830
692	31122	13787
693	31172	13744
694	31250	13714
695	31296	13669
696	31341	13624
697	31385	13579
698	31429	13534
699	31472	13488
700	31516	13442
701	31560	13397
702	31609	13354
703	31658	13310
704	31706	13267
705	31748	13221
706	31789	13174
707	31836	13130
708	31880	13085
709	31928	13041
710	31972	12995
711	32014	12949
712	32057	12903
713	32098	12857
714	32145	12813
715	32195	12770
716	32239	12724
717	32282	12679
718	32327	12634
719	32370	12588
720	32414	12543
721	32459	12498
722	32505	12453
723	32553	12409
724	32600	12365
725	32647	12321
726	32716	12285
727	32771	12244
728	32835	12206
729	32881	12161
730	32925	12116
731	32969	12070
732	33013	12025
733	33063	11982
734	33111	11938
735	33173	11899
736	33219	11854
737	33261	11808
738	33305	11762
739	33350	11717
740	33395	11672
741	33437	11626
742	33483	11581
743	33529	11537
744	33574	11491
745	33619	11446
746	33665	11402
747	33711	11357
748	33756	11312
749	33802	11267
750	33845	11221
751	33888	11175
752	33938	11132
753	33980	11086
754	34021	11040
755	34065	10994
756	34110	10949
757	34162	10906
758	34205	10861
759	34251	10816
760	34294	10770
761	34340	10725
762	34385	10680
763	34434	10636
764	34478	10591
765	34524	10546
766	34568	10501
767	34611	10455
768	34657	10410
769	34705	10366
770	34752	10321
771	34796	10276
772	34839	10231
773	34892	10188
774	34959	10149
775	35016	10107
776	35061	10062
777	35112	10019
778	35162	9975
779	35211	9931
780	35256	9886
781	35304	9841
782	35347	9796
783	35392	9750
784	35442	9707
785	35486	9661
786	35534	9617
787	35580	9572
788	35638	9530
789	35685	9485
790	35736	9442
791	35783	9397
792	35832	9353
793	35879	9308
794	35930	9265
795	35975	9219
796	36022	9175
797	36068	9130
798	36108	9083
799	36154	9038
800	36199	8993
801	36244	8948
802	36289	8902
803	36333	8857
804	36375	8811
805	36421	8766
806	36467	8721
807	36513	8676
808	36560	8631
809	36606	8586
810	36659	8543
811	36704	8498
812	36750	8453
813	36795	8407
814	36843	8363
815	36891	8318
816	36939	8274
817	36988	8229
818	37045	8187
819	37112	8146
820	37167	8103
821	37214	8058
822	37260	8013
823	37305	7968
824	37349	7922
825	37396	7877
826	37446	7833
